component,category,sourceSvg,riveComponent,requiredInQA,style,reference,colorBindings,tags,notes
Component_Face_DefinedJaw,face,assets/svg/face/Component_Face_DefinedJaw.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_HighCheekbones,face,assets/svg/face/Component_Face_HighCheekbones.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Face_LowCheekbones,face,assets/svg/face/Component_Face_LowCheekbones.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Ears_Small,ears,assets/svg/ears/Component_Ears_Small.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Ears_Medium,ears,assets/svg/ears/Component_Ears_Medium.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Ears_Large,ears,assets/svg/ears/Component_Ears_Large.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Ears_AttachedLobe,ears,assets/svg/ears/Component_Ears_AttachedLobe.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Ears_FreeLobe,ears,assets/svg/ears/Component_Ears_FreeLobe.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_SkinDetail_None,skin_detail,assets/svg/skin_detail/Component_SkinDetail_None.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Freckles_Light,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Freckles_Light.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Freckles_Dense,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Freckles_Dense.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_BeautyMark,skin_detail,assets/svg/skin_detail/Component_SkinDetail_BeautyMark.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Mole,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Mole.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Acne_Light,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Acne_Light.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Acne_Moderate,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Acne_Moderate.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_EyeBags,skin_detail,assets/svg/skin_detail/Component_SkinDetail_EyeBags.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Blush,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Blush.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_SmileLines,skin_detail,assets/svg/skin_detail/Component_SkinDetail_SmileLines.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Wrinkles_Light,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Wrinkles_Light.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Wrinkles_Mature,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Wrinkles_Mature.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Vitiligo_Partial,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Vitiligo_Partial.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_SkinDetail_Vitiligo_Extended,skin_detail,assets/svg/skin_detail/Component_SkinDetail_Vitiligo_Extended.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarMarkingColor;avatarMarkingOpacity,,
Component_Eyes_Round,eyes,assets/svg/eyes/Component_Eyes_Round.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Almond,eyes,assets/svg/eyes/Component_Eyes_Almond.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Monolid,eyes,assets/svg/eyes/Component_Eyes_Monolid.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Hooded,eyes,assets/svg/eyes/Component_Eyes_Hooded.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_DeepSet,eyes,assets/svg/eyes/Component_Eyes_DeepSet.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_WideSet,eyes,assets/svg/eyes/Component_Eyes_WideSet.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_CloseSet,eyes,assets/svg/eyes/Component_Eyes_CloseSet.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Upturned,eyes,assets/svg/eyes/Component_Eyes_Upturned.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Downturned,eyes,assets/svg/eyes/Component_Eyes_Downturned.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Small,eyes,assets/svg/eyes/Component_Eyes_Small.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Eyes_Large,eyes,assets/svg/eyes/Component_Eyes_Large.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Neutral,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Neutral.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Focused,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Focused.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Happy,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Happy.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Tired,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Tired.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Overwhelmed,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Overwhelmed.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Calm,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Calm.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Listening,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Listening.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_EyesExpr_Thinking,eyes_expr,assets/svg/eyes_expr/Component_EyesExpr_Thinking.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarEyeIrisColor;avatarEyeRingColor;avatarEyePupilColor;avatarEyeHighlightColor,,
Component_Brows_Straight,brows,assets/svg/brows/Component_Brows_Straight.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_SoftArch,brows,assets/svg/brows/Component_Brows_SoftArch.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_HighArch,brows,assets/svg/brows/Component_Brows_HighArch.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_Full,brows,assets/svg/brows/Component_Brows_Full.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_Thin,brows,assets/svg/brows/Component_Brows_Thin.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_Angled,brows,assets/svg/brows/Component_Brows_Angled.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_Rounded,brows,assets/svg/brows/Component_Brows_Rounded.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Brows_Flat,brows,assets/svg/brows/Component_Brows_Flat.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_BrowsExpr_Relaxed,brows_expr,assets/svg/brows_expr/Component_BrowsExpr_Relaxed.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_BrowsExpr_Raised,brows_expr,assets/svg/brows_expr/Component_BrowsExpr_Raised.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_BrowsExpr_Furrowed,brows_expr,assets/svg/brows_expr/Component_BrowsExpr_Furrowed.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_BrowsExpr_Concerned,brows_expr,assets/svg/brows_expr/Component_BrowsExpr_Concerned.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_BrowsExpr_Focused,brows_expr,assets/svg/brows_expr/Component_BrowsExpr_Focused.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Nose_Small,nose,assets/svg/nose/Component_Nose_Small.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Medium,nose,assets/svg/nose/Component_Nose_Medium.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Broad,nose,assets/svg/nose/Component_Nose_Broad.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Button,nose,assets/svg/nose/Component_Nose_Button.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Aquiline,nose,assets/svg/nose/Component_Nose_Aquiline.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_LowBridge,nose,assets/svg/nose/Component_Nose_LowBridge.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_HighBridge,nose,assets/svg/nose/Component_Nose_HighBridge.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Rounded,nose,assets/svg/nose/Component_Nose_Rounded.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_Defined,nose,assets/svg/nose/Component_Nose_Defined.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_WideNostril,nose,assets/svg/nose/Component_Nose_WideNostril.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Nose_NarrowNostril,nose,assets/svg/nose/Component_Nose_NarrowNostril.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBaseColor;avatarSkinShadowColor;avatarSkinHighlightColor,,
Component_Mouth_Narrow,mouth,assets/svg/mouth/Component_Mouth_Narrow.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_Medium,mouth,assets/svg/mouth/Component_Mouth_Medium.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_Full,mouth,assets/svg/mouth/Component_Mouth_Full.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_FullUpper,mouth,assets/svg/mouth/Component_Mouth_FullUpper.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_FullLower,mouth,assets/svg/mouth/Component_Mouth_FullLower.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_Wide,mouth,assets/svg/mouth/Component_Mouth_Wide.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_Small,mouth,assets/svg/mouth/Component_Mouth_Small.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Mouth_DefinedCupid,mouth,assets/svg/mouth/Component_Mouth_DefinedCupid.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Neutral,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Neutral.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Smile,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Smile.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Open,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Open.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Frown,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Frown.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Thinking,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Thinking.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Surprised,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Surprised.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Calm,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Calm.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_MouthExpr_Encouraging,mouth_expr,assets/svg/mouth_expr/Component_MouthExpr_Encouraging.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarSkinBlushColor,,
Component_Hair_Bald,hair,assets/svg/hair/Component_Hair_Bald.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_BuzzCut,hair,assets/svg/hair/Component_Hair_BuzzCut.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Shaved,hair,assets/svg/hair/Component_Hair_Shaved.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Fade,hair,assets/svg/hair/Component_Hair_Fade.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Undercut,hair,assets/svg/hair/Component_Hair_Undercut.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Waves_360,hair,assets/svg/hair/Component_Hair_Waves_360.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Short_Straight,hair,assets/svg/hair/Component_Hair_Short_Straight.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Short_Wavy,hair,assets/svg/hair/Component_Hair_Short_Wavy.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Short_Curly,hair,assets/svg/hair/Component_Hair_Short_Curly.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Short_Coily,hair,assets/svg/hair/Component_Hair_Short_Coily.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Medium_Straight,hair,assets/svg/hair/Component_Hair_Medium_Straight.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Medium_Wavy,hair,assets/svg/hair/Component_Hair_Medium_Wavy.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Medium_Curly,hair,assets/svg/hair/Component_Hair_Medium_Curly.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Medium_Coily,hair,assets/svg/hair/Component_Hair_Medium_Coily.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Long_Straight,hair,assets/svg/hair/Component_Hair_Long_Straight.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Long_Wavy,hair,assets/svg/hair/Component_Hair_Long_Wavy.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Long_Curly,hair,assets/svg/hair/Component_Hair_Long_Curly.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Long_Coily,hair,assets/svg/hair/Component_Hair_Long_Coily.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Afro_Short,hair,assets/svg/hair/Component_Hair_Afro_Short.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
Component_Hair_Afro_Rounded,hair,assets/svg/hair/Component_Hair_Afro_Rounded.svg,True,True,3d_mobile_avatar_svg,attached_curly_auburn_avatar,avatarHairBaseColor;avatarHairShadowColor;avatarHairHighlightColor;avatarHairAccentColor,,
